P-of-T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,ENGL,999,2,26969,SUPPORT FOR ENGLISH,- No-cost:$0 required txtbk cost,1,5,15,12:30-01:20,T R,0103 MILLER HALL,"Steele, Harriette",Main Campus
1,ENGL,1101,1,27039,COMPOSITION I,- $40 or under req txtbks cost,3,22,25,11:00-11:50,M W F,0207 MILLER HALL,"Simmons, Washella",Main Campus
1,ENGL,1101,2,21408,COMPOSITION I,- $40 or under req txtbks cost,3,22,25,01:00-01:50,M W F,0207 MILLER HALL,"Simmons, Washella",Main Campus
1,ENGL,1101,3,21409,COMPOSITION I,- $40 or under req txtbks cost,3,22,25,03:00-03:50,M W F,0207 MILLER HALL,"Simmons, Washella",Main Campus
1,ENGL,1101,4,27040,COMPOSITION I,,3,21,25,08:00-09:15,T R,0104 MILLER HALL,"Hill, Betty",Main Campus
1,ENGL,1101,5,27394,COMPOSITION I,,3,23,25,08:00-09:15,T R,0102 MILLER HALL,"Strange, Annis",Main Campus
1,ENGL,1101,6,27402,COMPOSITION I,,3,23,25,10:00-10:50,M W F,0102 MILLER HALL,"Sibley, Wilhelminia",Main Campus
1,ENGL,1101,7,27452,COMPOSITION I,,3,27,25,09:30-10:45,T R,0104 MILLER HALL,"Hill, Betty",Main Campus
1,ENGL,1101,8,27453,COMPOSITION I,- $40 or under req txtbks cost,3,28,25,09:30-10:45,T R,0202 MILLER HALL,"Hardman, Dorothy",Main Campus
1,ENGL,1101,9,27454,COMPOSITION I,- $40 or under req txtbks cost,3,29,25,09:30-10:45,T R,0205 MILLER HALL,"Tyler, Deborah",Main Campus
1,ENGL,1101,10,27676,COMPOSITION I,,3,23,25,11:00-11:50,M W F,0102 MILLER HALL,"Sibley, Wilhelminia",Main Campus
1,ENGL,1101,11,27677,COMPOSITION I,,3,24,25,12:30-01:45,T R,0104 MILLER HALL,"Hill, Betty",Main Campus
1,ENGL,1101,12,27678,COMPOSITION I,- $40 or under req txtbks cost,3,20,25,12:30-01:45,T R,0205 MILLER HALL,"Tyler, Deborah",Main Campus
1,ENGL,1101,13,27679,COMPOSITION I,,3,22,25,12:30-01:45,T R,0102 MILLER HALL,"Strange, Annis",Main Campus
1,ENGL,1101,14,27816,COMPOSITION I,,3,22,25,02:00-02:50,M W F,0205 MILLER HALL,"Sibley, Wilhelminia",Main Campus
1,ENGL,1101,15,27817,COMPOSITION I,- $40 or under req txtbks cost,3,21,25,02:00-03:15,T R,0205 MILLER HALL,"Tyler, Deborah",Main Campus
1,ENGL,1101,16,27818,COMPOSITION I,- $40 or under req txtbks cost,3,26,25,02:00-03:15,T R,0202 MILLER HALL,"Hardman, Dorothy",Main Campus
1,ENGL,1101,17,27821,COMPOSITION I,,3,23,25,03:00-03:50,M W F,0205 MILLER HALL,"Crumbly, Dorothy",Main Campus
1,ENGL,1101,18,27823,COMPOSITION I,- $40 or under req txtbks cost,3,24,25,03:30-04:45,T R,0202 MILLER HALL,"Hardman, Dorothy",Main Campus
1,ENGL,1101,20,27825,COMPOSITION I,,3,0,0,03:30-04:45,T R,0205 MILLER HALL,"Pitts, Berlethia",Main Campus
1,ENGL,1101,21,27826,COMPOSITION I,,3,23,25,02:00-03:15,T R,0102 MILLER HALL,"Strange, Annis",Main Campus
1,ENGL,1102,1,27279,COMPOSITION II,,3,34,30,10:00-10:50,M W F,0205 MILLER HALL,"Wang, Zhigang",Main Campus
1,ENGL,1102,2,27042,COMPOSITION II,,3,32,30,01:00-01:50,M W F,0205 MILLER HALL,"Wang, Zhigang",Main Campus
1,ENGL,1102,3,26488,COMPOSITION II,- $40 or under req txtbks cost,3,32,32,08:00-09:15,T R,0204 MILLER HALL,"Pitts, Berlethia",Main Campus
1,ENGL,1102,4,27544,COMPOSITION II,- $40 or under req txtbks cost,3,35,32,09:30-10:45,T R,0204 MILLER HALL,"Pitts, Berlethia",Main Campus
1,ENGL,1102,5,27545,COMPOSITION II,- $40 or under req txtbks cost,3,31,32,12:30-01:45,T R,0204 MILLER HALL,"Pitts, Berlethia",Main Campus
1,ENGL,1102,6,27814,COMPOSITION II,- $40 or under req txtbks cost,3,34,32,02:00-03:15,T R,0204 MILLER HALL,"Pitts, Berlethia",Main Campus
1,ENGL,1102,7,27815,COMPOSITION II,- $40 or under req txtbks cost,3,28,32,03:30-04:45,T R,0207 MILLER HALL,"Brown, Michael",Main Campus
1,ENGL,1102,8,27859,COMPOSITION II,- $40 or under req txtbks cost,3,27,32,12:30-01:45,T R,0207 MILLER HALL,"Brown, Michael",Main Campus
1,ENGL,2023,W1,27812,CRITICAL WRITING AND THINKING,,3,3,30,,,,"Inge, La'Kesa",Main Campus
1,ENGL,2053,W1,27334,INTRO TECHNICAL WRITING,,3,8,30,,,,"Inge, La'Kesa",On-Line
1,ENGL,2111,1,21471,WORLD LITERATURE,,3,51,45,09:00-09:50,M W F,0102 MILLER HALL,"Wang, Zhigang",Main Campus
1,ENGL,2111,2,21472,WORLD LITERATURE,,3,30,25,12:00-12:50,M W F,0207 MILLER HALL,"Simmons, Washella",Main Campus
1,ENGL,2111,3,21473,WORLD LITERATURE,,3,50,45,03:00-03:50,M W F,0102 MILLER HALL,"Wang, Zhigang",Main Campus
1,ENGL,2111,4,21474,WORLD LITERATURE,- No-cost:$0 required txtbk cost,3,40,32,12:30-01:45,T R,0202 MILLER HALL,"Hardman, Dorothy",Main Campus
1,ENGL,4200,1,27667,STUDY OF CHILDREN'S LIT,,3,0,5,,,,,Main Campus
1,ENGL,5003,70,27947,COMMUNICATION ARTS,,3,2,15,09:00-12:00,S,FVSU - Warner Robins Si,"Forde', Nancy",FVSU-Warner Robins Campus
1,ENVH,5183,WH,27057,ENVIRONMENTAL LAW,,3,33,50,06:00-09:00,W,ONEAL VET TECH BLD,"Riley, Clarence",Main Campus
1,ENVH,5223,WH,27860,OCCUPATIONAL HLTH IN AGRICULTU,,3,10,50,06:00-09:00,W,0117 ONEAL VET TECH BLD,"Sharif-Harris, Hamidah",Main Campus
1,ENVH,5324,WH,27654,ZOONOSES OF ANIMAL & HUMAN POP,,3,13,50,06:00-09:00,R,0117 ONEAL VET TECH BLD,"Samples, Oreta",Main Campus
1,ENVH,5800,WH,27804,SPECIAL TOPICS IN PUBLIC HLTH,,1,30,50,06:00-09:00,M,,"Sharif-Harris, Hamidah",Main Campus
1,ENVH,5803,WH,27179,RESEARCH METHODS IN PUBLIC HLT,,3,47,50,06:00-09:00,M,0117 ONEAL VET TECH BLD,"Samples, Oreta",Main Campus
1,FCSC,1811,1,26275,FOUNDATION TO FCS,,1,8,25,02:00-02:50,W,0102 MYERS HOME EC,"Pittman, Veronica",Main Campus
1,FCSC,2200,1,26277,EFFECTIVE LIVING,,2,30,25,11:00-11:50,M W,0205 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FCSC,2821,1,25166,INTERNATIONAL ISSUES AND PROF,- No-cost:$0 required txtbk cost,1,7,25,08:00-08:50,M,0205 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FCSC,2854K,1,25886,ART & DESIGN IN MICROENVRMENT,,3,15,25,09:00-09:50,M W F,0205 MYERS HOME EC,"Fluellen, Vivian",Main Campus
1,FCSC,2854L,51,25887,ART & DESIGN LAB,,0,14,25,10:00-11:50,F,0219 MYERS HOME EC,"Fluellen, Vivian",Main Campus
1,FCSC,2854L,52,27989,ART & DESIGN LAB,,0,1,15,10:00-11:50,S,0217 MYERS HOME EC,"Fluellen, Vivian",Main Campus
1,FCSC,3913,1,22403,HOME MANAGEMENT RESIDENCE,,3,0,8,05:00-07:50,M W F,HOME-EC MNGT HOUSE,"Torbert, Kena",Main Campus
1,FCSC,3913,2,27689,HOME MANAGEMENT RESIDENCE,,3,2,8,11:00-12:50,M W F,HOME-EC MNGT HOUSE,"Torbert, Kena",Main Campus
1,FCSE,2941,1,26713,PERSPECTIVES IN FCS EDUCATION,,1,0,15,,,,,Main Campus
1,FDNU,1804,1,26120,CONTEMPORARY FOOD AND NUTRITIO,,4,11,25,03:30-05:20,T,0209 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FDNU,1804L,51,26121,CONTEMP FOOD/NUTR-LAB,,0,11,25,03:30-06:45,R,0119 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FDNU,3832,1,25892,MATERNAL AND CHILD NUTRITION,,2,20,25,06:30-08:30,T,0209 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,3833,1,25893,LIFE SPAN NUTRITION,,3,7,25,11:00-12:15,T R,0205 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FDNU,3843,1,25907,FOOD PRESERVATION,- No-cost:$0 required txtbk cost,3,9,25,01:00-01:50,M W F,0209 MYERS HOME EC,"Johnson, Linda",Main Campus
1,FDNU,4832,1,27985,COMMUNITY NUTRITION,,2,1,15,08:00-09:50,S,0209 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,4863,1,27126,MEAL PLANNING MANAGEMENT,,3,1,15,05:00-06:50,W,0209 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,4863L,51,27127,MEAL PLANNING MANAGEMENT LAB,,0,1,15,06:30-08:30,T,0119 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,4893,1,26619,MEDICAL NUTRITION THERAPY II,,3,3,12,05:00-07:45,T,0205 MYERS HOME EC,"Corbett, Bridgit",Main Campus
1,FDNU,4903,1,25904,INSTITUTIONAL FOODS,,3,4,25,01:00-02:50,F,0119 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,4903L,51,26174,INSTITUTIONAL FOODS LAB,,0,4,25,03:00-04:50,F,0119 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDNU,4921,1,26439,SEMINAR IN NUTRITION,- No-cost:$0 required txtbk cost,1,3,5,05:00-05:50,M,0209 MYERS HOME EC,"Larson, Rebecca",Main Campus
1,FDSC,2803,1,27862,INTRODUCTORY TO FOOD SCIENCE,,3,0,20,11:00-11:50,M W,0101 MEAT TECHNOLOGY BUILDING,"Lee, Jung",Main Campus
1,FDSC,2803L,51,27864,INTRO TO FOOD SCIENCE LAB,,0,0,20,02:00-04:45,R,0101 MEAT TECHNOLOGY BUILDING,,Main Campus
1,FDSC,3823L,51,27866,FOOD PROCESSING LAB,,0,0,20,09:30-12:15,T,0101 MEAT TECHNOLOGY BUILDING,"Mahapatra, Ajit",Main Campus
1,FREN,1001,1,21434,ELEMENTARY FRENCH I,,3,4,30,11:00-11:50,M W F,0212 MILLER HALL,"Keita, Mamadou",Main Campus
1,FREN,1002,1,21435,ELEMENTARY FRENCH II,,3,12,30,12:00-12:50,M W F,0212 MILLER HALL,"Keita, Mamadou",Main Campus
1,FVSU,100,1,23574,INTRO TO UNIV/SOC & BEHAV SCI,,1,30,50,11:00-11:50,T R,MILLER HALL,"Lawrence, Stevie",Main Campus
1,FVSU,100,2,23575,INTRO TO UNIV/SOC & BEHAV SCI,,1,31,50,11:00-11:50,T R,0222 BOND ACADEMIC BLDG,"Brown, Kenneth",Main Campus
1,FVSU,100,3,26173,INTRO TO UNIV/SOC & BEHAV SCI,,1,38,50,11:00-11:50,T R,0117 BOND ACADEMIC BLDG,"Simmons, Romelda",Main Campus
1,FVSU,100,4,27743,INTRO TO UNIV/SOC & BEHAV SCI,,1,43,45,11:00-11:50,T R,0118 BOND ACADEMIC BLDG,"Edwards, Octavious",Main Campus
1,FVSU,100,5,27744,INTRO TO UNIV/ ARTS & HUMAN,,1,23,30,11:00-11:50,T R,0101 FOUNDERS ACADEMIC,"Kenney, Kareem",Main Campus
1,FVSU,100,6,23579,INTRO TO UNIV/ ARTS & HUMAN,,1,31,30,11:00-11:50,T R,0023 BOND ACADEMIC BLDG,"Powell, Jocelyn",Main Campus
1,FVSU,100,7,27874,INTRO TO UNIV/EDUCATION,,1,61,25,11:00-11:50,T R,0305 HUBBARD EDUCATION,"McMullen, Rebecca",Main Campus
1,FVSU,100,8,27875,INTRO TO UNIV/STEAM,,1,44,30,11:00-11:50,T R,0123 BYWATERS ACADEMIC,"Cranford, Ala'Torya",Main Campus
1,FVSU,100,9,27697,INTRO TO UNIV/STEAM,,1,76,30,11:00-11:50,T R,0105 TABOR AGR ACAD,"Surrency, Jacques",Main Campus
1,FVSU,100,10,23583,INTRO TO UNIV/BUSINESS,,1,47,50,11:00-11:50,T R,0219 BYWATERS ACADEMIC,"Brown, Joyce",Main Campus
1,FVSU,100,11,24141,INTRO TO UNIV/TRIO SSS,,1,18,30,11:00-11:50,T R,BYWATERS ACADEMIC,"Curtis, Davida",Main Campus
1,FVSU,100,12,24509,INTRO TO UNIV/BUSINESS,,1,35,50,11:00-11:50,T R,0204 BYWATERS ACADEMIC,"Ballard, Ashley",Main Campus
1,FVSU,100,13,25003,INTRO TO UNIV/STEAM,,1,22,30,11:00-11:50,T R,0202 TABOR AGR ACAD,"Lawrence, Stevie",Main Campus
1,FVSU,100,14,27696,INTRO TO UNIV/STEAM,,1,28,30,11:00-11:50,T R,0110 COMPUTER TECHNOLOGY/MATHE,"Lawrence, Stevie",Main Campus
1,FVSU,100,15,28013,INTRO TO UNIV (ORI)/STEM LC,,1,16,25,11:00-11:50,T R,0321 ACADEMIC CLASSROOM BUILDI,"Dodd, Celia",Main Campus
1,FVSU,100,W1,27695,INTRO TO UNIV/ONLINE STUDENTS,,1,14,30,,,,"Evans, Chewan",On-Line
1,FVSU,500,W1,25834,GRADUATE STUDIES ORIENTATION,,0,21,25,,,,"Jarvis, Thomas",On-Line
1,FVSU,500,W1R,26918,GRADUATE STUDIES ORIENTATION,,0,33,20,,,,"Payne, Tamara",On-Line
1,FVSU,500,W5E,27949,GRADUATE STUDIES ORIENTATION,,0,3,20,,,,"Forde', Nancy",On-Line
1,FVSU,500,W9H,26909,GRADUATE STUDIES ORIENTATION,,0,0,10,,,,,Main Campus
1,GDNC,10,1,27469,GORDON ORI TO FVSU CAMPUS,,0,82,150,,,,"Lawrence, Stevie",Main Campus
1,GEOG,1231,1,21762,INTRO TO WORLD REGIONAL GEOG,,3,25,40,08:00-09:15,T R,0215 BOND ACADEMIC BLDG,"Osondu, Iheanyichukwu",Main Campus
1,GEOG,1231,2,23826,INTRO TO WORLD REGIONAL GEOG,,3,39,40,09:30-10:45,T R,0215 BOND ACADEMIC BLDG,"Osondu, Iheanyichukwu",Main Campus
1,GEOG,1231,3,27792,INTRO TO WORLD REGIONAL GEOG,,3,36,40,02:00-03:15,T R,0215 BOND ACADEMIC BLDG,"Osondu, Iheanyichukwu",Main Campus
1,GEOG,4405,1,27597,GEOGRAPHY OF AFRICA,,3,0,40,12:30-01:45,T R,0215 BOND ACADEMIC BLDG,"Osondu, Iheanyichukwu",Main Campus
1,GEOL,1121,1,23125,INTRO PHYS GEOLOGY,,4,10,20,03:30-04:45,T R,0212 ACADEMIC CLASSROOM BUILDI,"Kar, Adityamoy",Main Campus
1,GEOL,1121L,51,25116,INTRO TO GEOLOGY LAB,,0,10,20,05:00-06:50,W,0223 ACADEMIC CLASSROOM BUILDI,"Kar, Adityamoy",Main Campus
1,GEOL,2204,1,26582,INTRO TO MINERAL SCIENCES,- No-cost:$0 required txtbk cost,4,3,20,03:00-04:15,M W,0212 ACADEMIC CLASSROOM BUILDI,"Kar, Adityamoy",Main Campus
1,GEOL,2204L,51,26584,INTRO TO MINERAL SCIENCES,,0,3,20,08:00-09:50,R,0212 ACADEMIC CLASSROOM BUILDI,"Kar, Adityamoy",Main Campus
1,GERO,3020,1,27311,SOCIAL POLICY & AGING,,3,13,25,02:00-03:15,T R,0223 BOND ACADEMIC BLDG,"Bellamy, Donna",Main Campus
1,GERO,3040,1,27176,DIVERSITY & AGING,,3,12,25,09:30-10:45,T R,0122 BOND ACADEMIC BLDG,"Bellamy, Donna",Main Campus
1,GERO,4020,WH,27177,CONTEMPORARY ISSUES IN AGING,,3,8,25,12:00-12:50,M W F,0216 BOND ACADEMIC BLDG,"Baraka, Amaris",Main Campus
1,HIST,1111,1,21800,SURV WRLD CIV ERLY MODERN,,3,38,40,11:00-11:50,M W F,0118 BOND ACADEMIC BLDG,"Dumbuya, Peter",Main Campus
1,HIST,1111,2,21801,SURV WRLD CIV ERLY MODERN,,3,40,40,01:00-01:50,M W F,0118 BOND ACADEMIC BLDG,"Dumbuya, Peter",Main Campus
1,HIST,1111,3,24577,SURV WRLD CIV ERLY MODERN,,3,44,40,09:30-10:45,T R,0123 BOND ACADEMIC BLDG,"Daniely, Dayna",Main Campus
1,HIST,1111,4,27167,SURV WRLD CIV ERLY MODERN,,3,46,45,06:00-07:15,T R,0117 BOND ACADEMIC BLDG,"Walker, Sherrica",Main Campus
1,HIST,1112,1,22257,SRV WRLD CIV FR MODRN TIME,,3,39,40,06:00-07:15,M W,0117 BOND ACADEMIC BLDG,"Walker, Angela",Main Campus
1,HIST,1112,2,25873,SRV WRLD CIV FR MODRN TIME,,3,45,40,09:00-09:50,M W F,0117 BOND ACADEMIC BLDG,"Daniely, Dayna",Main Campus
1,HIST,1112,W1,27395,SRV WRLD CIV FR MODRN TIME,,3,28,25,,,,"Young, Jill",On-Line
1,HIST,2111,1,21781,US HIS TO PST CV WAR,- No-cost:$0 required txtbk cost,3,41,40,09:00-09:50,M W F,0118 BOND ACADEMIC BLDG,"Smith, Mark",Main Campus
1,HIST,2111,2,25875,US HIS TO PST CV WAR,,3,39,40,10:00-10:50,M W F,0117 BOND ACADEMIC BLDG,"Smith, Mark",Main Campus
1,HIST,2111,3,25876,US HIS TO PST CV WAR,- No-cost:$0 required txtbk cost,3,37,45,12:00-12:50,M W F,0118 BOND ACADEMIC BLDG,"Smith, Mark",Main Campus
1,HIST,2111,4,27785,US HIS TO PST CV WAR,,3,42,40,12:30-01:45,T R,0118 BOND ACADEMIC BLDG,"Daniely, Dayna",Main Campus
1,HIST,2112,1,21791,US-PST CV WR TO PRESENT,,3,41,40,08:00-09:15,T R,0222 BOND ACADEMIC BLDG,"Daniely, Dayna",Main Campus
1,HIST,2112,2,27451,US-PST CV WR TO PRESENT,,3,42,40,09:30-10:45,T R,0118 BOND ACADEMIC BLDG,"Van Hartesvelt, Fred",Main Campus
1,HIST,2112,3,27691,US-PST CV WR TO PRESENT,,3,45,45,06:00-07:15,M W,0023 BOND ACADEMIC BLDG,"Walker, Sherrica",Main Campus
1,HIST,2112,W1,27396,US-PST CV WR TO PRESENT,,3,30,25,,,,"Young, Jill",On-Line
1,HIST,3311,1,27586,GA IN AMER HISTORY,,3,5,30,06:00-07:15,T R,0122 BOND ACADEMIC BLDG,"Walker, Angela",Main Campus
1,HIST,3354,1,27787,BLACK AMERICAN HISTORY TO 1865,,3,11,40,12:30-01:45,T R,0121 BOND ACADEMIC BLDG,"Van Hartesvelt, Fred",Main Campus
1,HIST,3360,1,27584,HISTORY OF AFRICA TO 1850,,3,7,20,05:00-06:15,M W,0120 BOND ACADEMIC BLDG,"Dumbuya, Peter",Main Campus
1,HIST,3380,1,27788,THE AMERICAN REV.& NEW NATION,,3,3,20,02:00-02:50,M W F,0123 BOND ACADEMIC BLDG,"Smith, Mark",Main Campus
1,HIST,4000,1,27790,SEMINAR,,3,2,20,03:00-03:50,M W F,0120 BOND ACADEMIC BLDG,"Dumbuya, Peter",Main Campus
1,HIST,4410,1,27612,TWENTIETH CENTURY EUROPE,- No-cost:$0 required txtbk cost,3,5,30,02:00-03:15,T R,0123 BOND ACADEMIC BLDG,"Daniely, Dayna",Main Campus
1,HIST,4500,1,27585,CAPSTONE IN HISTORY,,3,1,20,02:00-03:15,M W F,0120 BOND ACADEMIC BLDG,"Dumbuya, Peter",Main Campus
1,HLTH,5103,WH,27803,ENVIORNMENTAL HEALTH,,3,41,50,06:00-09:00,R,0132 ONEAL VET TECH BLD,"Riley, Clarence",Main Campus
1,HLTH,5133,WH,27897,PH ROLES IN FOOD PRODUCTION,,3,14,50,06:00-09:00,T,0117 ONEAL VET TECH BLD,"Sharif-Harris, Hamidah",Main Campus
1,HLTH,5153,WH,26117,BIOSTATISTICS,,3,43,50,06:00-09:00,T,ONEAL VET TECH BLD,"Riley, Clarence",Main Campus
1,HLTH,5173,WH,28006,PUBLIC HEALTH POLICY & ADMIN,,3,11,60,06:00-09:00,W,0117 ONEAL VET TECH BLD,"Riley, Clarence",Main Campus
1,HLTH,5850,WH,25706,FIELD EXPERIENCE,,1,21,50,06:00-09:00,R,0117 ONEAL VET TECH BLD,"Riley, Clarence",Main Campus
1,HLTH,5999,WH,26578,THESIS RESEARCH,,1,8,50,06:00-09:00,R,0117 ONEAL VET TECH BLD,"Samples, Oreta",Main Campus
1,HORT,2843,1,27648,BASIC ORGANIC GARDENING,,3,10,20,12:30-01:45,T R,0105 TABOR AGR ACAD,"Brown, James",Main Campus
1,HORT,4813,1,27135,NURSERY MANAGEMENT,,3,6,30,09:00-09:50,M W,0124 TABOR AGR ACAD,"Gosukonda, Ramana",Main Campus
1,HORT,4813L,51,27136,NURSERY MANAGEMENT LAB,,0,6,30,06:00-08:00,F,0114 TABOR AGR ACAD,"Gosukonda, Ramana",Main Campus
1,HPER,2000,1,27607,DEPARTMENTAL SEMINAR,,0,9,25,10:00-10:50,F,0348 HPE BUILDING,"Stanley, Adonis",Main Campus
1,HPER,2402,1,25410,INTRO TO HLTH & PHYS. EDU.,,3,8,25,11:00-12:15,M W,0344 HPE BUILDING,"Green, Gregory",Main Campus
1,ICDV,3833,1,25910,CHILD DEVELOPMENT,,4,12,25,12:30-01:45,T R,0205 MYERS HOME EC,"Pittman, Veronica",Main Campus
1,ICDV,3833L,51,26377,CHILD DEVELOPMENT LAB,,0,12,25,03:00-06:50,S,0205 MYERS HOME EC,"Pittman, Veronica",Main Campus
1,ICDV,3843,1,25751,LANG & LIT DEV IN YOUNG CHILD,,3,17,25,05:00-07:50,M,0102 MYERS HOME EC,"Miller, Pamela",Main Campus
1,ICDV,3873,1,25919,GUDNCE & TEACH MTHDS YNG CHILD,,3,16,25,05:00-07:50,W,0102 MYERS HOME EC,"Miller, Pamela",Main Campus
1,ICDV,4874K,1,26175,NUR/KINDGART PRAC,- $40 or under req txtbks cost,4,20,25,05:00-06:15,R,0205 MYERS HOME EC,"Dean, Paula",Main Campus
1,ICDV,4874L,51,26380,NURSERY/KINDERGARTEN LAB,,0,20,25,08:00-10:45,T R,,"Dean, Paula",Main Campus
1,ICDV,4882,1,25917,ORGAN/ADMIN GROUP CARE,,2,21,25,03:00-03:50,M W,0205 MYERS HOME EC,"Pittman, Veronica",Main Campus
1,ICDV,4893K,1,23249,INFANT STIMULATION,,3,21,25,02:00-03:15,T R,0205 MYERS HOME EC,"Dean, Paula",Main Campus
1,ICDV,4893L,51,26373,INFANT STIMULATION LAB,,0,21,25,01:00-02:50,S,,"Dean, Paula",Main Campus
1,ICDV,4909,1,25918,DIR OBSERV/SUPERVISION,- No-cost:$0 required txtbk cost,9,4,10,08:00-04:50,MTWRF,,"Dean, Paula",Main Campus
1,ICDV,4913,1,25920,SPECIAL TOPICS,- No-cost:$0 required txtbk cost,3,8,25,05:00-08:00,F,0205 MYERS HOME EC,"Miller, Pamela",Main Campus
1,ISCI,2002,1,25272,PHYSICAL SCIENCE / EARLY CHILD,,3,11,30,02:00-03:15,M W,0110 HUBBARD EDUCATION,"Jefferson, Jessica",Main Campus
1,MAED,5030,70,26113,GEOMETRY AND MEASUREMENTS,,3,0,20,,,,,FVSU-Warner Robins Campus
1,MAED,5301,70,26616,NUMBERS AND OPERATIONS,,3,0,20,,,,,FVSU-Warner Robins Campus
1,MATH,998,2,26978,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,7,15,11:00-11:50,M W,0108 MILLER HALL,"Harris, Linda",Main Campus
1,MATH,998,3,26979,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,10,15,01:00-01:50,M W,0108 MILLER HALL,"Harris, Linda",Main Campus
1,MATH,998,4,26980,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,4,12,12:30-01:20,T R,0110 MILLER HALL,"Wilcox, Council",Main Campus
1,MATH,998,5,27391,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,4,15,09:00-09:50,M W,0110 MILLER HALL,"Harris, Linda",Main Campus
1,MATH,998,6,27392,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,4,10,09:30-10:20,T R,0108 MILLER HALL,"Wilcox, Council",Main Campus
1,MATH,998,7,27553,SUPPORT FOR MATH MODELING,- No-cost:$0 required txtbk cost,1,6,12,02:00-02:50,T R,0108 MILLER HALL,"Wilcox, Council",Main Campus
1,MATH,999,1,27905,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,15,15,10:00-10:50,F,0303 COMPUTER TECHNOLOGY/MATHE,"Kunwar, Ishwari",Main Campus
1,MATH,999,2,27903,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,13,15,09:00-09:50,F,0301 COMPUTER TECHNOLOGY/MATHE,"Cartwright, Samuel",Main Campus
1,MATH,999,3,27904,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,15,15,01:00-01:50,F,0302 COMPUTER TECHNOLOGY/MATHE,"Kunwar, Ishwari",Main Campus
1,MATH,999,4,27902,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,10,15,02:00-02:50,F,0303 COMPUTER TECHNOLOGY/MATHE,"Kunwar, Ishwari",Main Campus
1,MATH,999,5,27901,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,10,15,11:00-11:50,F,0304 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
1,MATH,999,7,27969,SUPPORT FOR COLLEGE ALGEBRA,- No-cost:$0 required txtbk cost,1,14,15,10:00-10:50,F,0220 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
1,MATH,1101,1,23610,MATHEMATICAL MODELING,,3,27,30,11:00-11:50,M W F,0201 COMPUTER TECHNOLOGY/MATHE,"Cartwright, Samuel",Main Campus
1,MATH,1101,2,26766,MATHEMATICAL MODELING,,3,9,0,09:00-09:50,M W,0108 MILLER HALL,"Alderman, Tasha",Main Campus
1,MATH,1101,3,26963,MATHEMATICAL MODELING,,3,13,0,12:00-12:50,M W,0110 MILLER HALL,"Alderman, Tasha",Main Campus
1,MATH,1101,4,26964,MATHEMATICAL MODELING,,3,9,14,09:30-10:45,T R,0110 MILLER HALL,"Alderman, Tasha",Main Campus
1,MATH,1101,6,27157,MATHEMATICAL MODELING,,3,5,15,12:30-01:45,T R,0108 MILLER HALL,"Alderman, Tasha",Main Campus
1,MATH,1101,7,27304,MATHEMATICAL MODELING,,3,28,30,01:00-01:50,M W F,0201 COMPUTER TECHNOLOGY/MATHE,"Davis, Josephine",Main Campus
1,MATH,1101,8,27393,MATHEMATICAL MODELING,,3,24,30,02:00-03:15,T R,0304 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
1,MATH,1101,9,27599,MATHEMATICAL MODELING,,3,19,30,12:30-01:45,T R,0201 COMPUTER TECHNOLOGY/MATHE,"Davis, Josephine",Main Campus
1,MATH,1101,10,27726,MATHEMATICAL MODELING,,3,18,30,12:00-01:15,M W,0220 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
1,MATH,1111,1,21320,COLLEGE ALGEBRA,,3,26,25,10:00-10:50,M W,0303 COMPUTER TECHNOLOGY/MATHE,"Burell, Bhavana",Main Campus
